,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3
212,0.8235294117647058,0.7058823529411765,molWeight,nof_HBA,nof_HBD
213,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,molCharge_total
215,0.8235294117647058,0.8823529411764706,molWeight,nof_HBA,Complexity
217,0.8529411764705882,0.7352941176470589,molWeight,nof_HBA,nof_negCharge
225,0.8823529411764706,0.7058823529411765,molWeight,nof_HBA,nof_RotB
231,0.8529411764705882,0.7058823529411765,molWeight,nof_HBA,nof_COOH
246,0.8235294117647058,0.7058823529411765,molWeight,nof_HBD,nof_RotB
251,0.8235294117647058,0.7352941176470589,molWeight,nof_HBD,nof_NH2
256,0.8529411764705882,0.8235294117647058,molWeight,molCharge_total,Complexity
266,0.8235294117647058,0.7058823529411765,molWeight,molCharge_total,nof_RotB
271,0.8529411764705882,0.7058823529411765,molWeight,molCharge_total,nof_NH2
273,0.8235294117647058,0.7058823529411765,molWeight,molCharge_total,nof_OH
275,0.8529411764705882,0.8235294117647058,molWeight,nof_Rings,Complexity
278,0.8529411764705882,0.7058823529411765,molWeight,nof_Rings,a_heavy
285,0.8235294117647058,0.7352941176470589,molWeight,nof_Rings,nof_RotB
295,0.8823529411764706,0.8235294117647058,molWeight,Complexity,nof_negCharge
305,0.8529411764705882,0.7941176470588235,molWeight,Complexity,nof_PO4
306,0.8235294117647058,0.7941176470588235,molWeight,Complexity,nof_SO3H
308,0.8235294117647058,0.7941176470588235,molWeight,Complexity,nof_NH2
309,0.8529411764705882,0.7941176470588235,molWeight,Complexity,nof_COOH
325,0.8235294117647058,0.7058823529411765,molWeight,nof_posCharge,nof_NH2
332,0.8235294117647058,0.6764705882352942,molWeight,nof_negCharge,C_R0
334,0.8235294117647058,0.6764705882352942,molWeight,nof_negCharge,posCharge/Volume
336,0.8235294117647058,0.7058823529411765,molWeight,nof_negCharge,nof_RotB
341,0.8529411764705882,0.7058823529411765,molWeight,nof_negCharge,nof_NH2
351,0.8235294117647058,0.7058823529411765,molWeight,a_heavy,nof_RotB
356,0.8235294117647058,0.6764705882352942,molWeight,a_heavy,nof_NH2
363,0.8235294117647058,0.7058823529411765,molWeight,C_R2,posCharge/Volume
371,0.8235294117647058,0.7058823529411765,molWeight,C_R2,nof_COOH
410,0.8235294117647058,0.7647058823529411,molWeight,posCharge/Volume,negCharge/Volume
413,0.8235294117647058,0.7058823529411765,molWeight,posCharge/Volume,nof_PO4
414,0.8235294117647058,0.7058823529411765,molWeight,posCharge/Volume,nof_SO3H
415,0.8235294117647058,0.7058823529411765,molWeight,posCharge/Volume,nof_SH
417,0.8529411764705882,0.7058823529411765,molWeight,posCharge/Volume,nof_COOH
418,0.8235294117647058,0.7058823529411765,molWeight,posCharge/Volume,nof_OH
430,0.8235294117647058,0.7058823529411765,molWeight,nof_RotB,nof_PO4
431,0.8235294117647058,0.7058823529411765,molWeight,nof_RotB,nof_SO3H
434,0.8235294117647058,0.7058823529411765,molWeight,nof_RotB,nof_COOH
446,0.8529411764705882,0.7058823529411765,molWeight,nof_PO4,nof_NH2
451,0.8235294117647058,0.7058823529411765,molWeight,nof_SO3H,nof_NH2
455,0.8235294117647058,0.7058823529411765,molWeight,nof_SH,nof_NH2
456,0.8235294117647058,0.7058823529411765,molWeight,nof_SH,nof_COOH
459,0.8823529411764706,0.7352941176470589,molWeight,nof_NH2,nof_COOH
460,0.8529411764705882,0.7058823529411765,molWeight,nof_NH2,nof_OH
462,0.8235294117647058,0.7058823529411765,molWeight,nof_COOH,nof_OH
499,0.8235294117647058,0.6470588235294118,molVolume,molLogS,nof_HBA
597,0.8529411764705882,0.7058823529411765,molVolume,PSA/Area,nof_COOH
604,0.8235294117647058,0.6176470588235294,molVolume,nof_Atoms,nof_Rings
624,0.8235294117647058,0.7058823529411765,molVolume,nof_Chirals,nof_HBA
627,0.8235294117647058,0.6470588235294118,molVolume,nof_Chirals,nof_Rings
628,0.8235294117647058,0.7941176470588235,molVolume,nof_Chirals,Complexity
652,0.8529411764705882,0.7058823529411765,molVolume,nof_HBA,nof_negCharge
666,0.8823529411764706,0.6764705882352942,molVolume,nof_HBA,nof_COOH
671,0.8529411764705882,0.7941176470588235,molVolume,nof_HBD,Complexity
691,0.8235294117647058,0.7941176470588235,molVolume,molCharge_total,Complexity
706,0.8529411764705882,0.6764705882352942,molVolume,molCharge_total,nof_NH2
710,0.8235294117647058,0.7941176470588235,molVolume,nof_Rings,Complexity
730,0.8235294117647058,0.7941176470588235,molVolume,Complexity,nof_negCharge
744,0.8529411764705882,0.7941176470588235,molVolume,Complexity,nof_COOH
798,0.8235294117647058,0.6764705882352942,molVolume,C_R2,posCharge/Volume
848,0.8235294117647058,0.6764705882352942,molVolume,posCharge/Volume,nof_PO4
849,0.8235294117647058,0.6764705882352942,molVolume,posCharge/Volume,nof_SO3H
894,0.8235294117647058,0.7352941176470589,molVolume,nof_NH2,nof_COOH
1198,0.8235294117647058,0.6176470588235294,molLogP,a_heavy,nof_COOH
1312,0.8529411764705882,0.8235294117647058,molLogS,molPSA,molCharge_total
1316,0.8529411764705882,0.8235294117647058,molLogS,molPSA,nof_negCharge
1323,0.8235294117647058,0.8235294117647058,molLogS,molPSA,negCharge/Volume
1336,0.8235294117647058,0.6176470588235294,molLogS,molArea,nof_HBA
1340,0.9117647058823528,0.7647058823529411,molLogS,molArea,Complexity
1362,0.8235294117647058,0.5882352941176471,molLogS,PSA/Area,nof_HBD
1525,0.8235294117647058,0.7941176470588235,molLogS,Complexity,nof_SO3H
1526,0.8235294117647058,0.7941176470588235,molLogS,Complexity,nof_SH
1689,0.8235294117647058,0.7058823529411765,molPSA,molArea,molCharge_total
1693,0.8235294117647058,0.7352941176470589,molPSA,molArea,nof_negCharge
1732,0.8235294117647058,0.6176470588235294,molPSA,PSA/Area,nof_COOH
2057,0.8529411764705882,0.7058823529411765,molArea,PSA/Area,nof_COOH
2084,0.8529411764705882,0.6764705882352942,molArea,nof_Chirals,nof_HBA
