,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  1,Feature  2,Feature  3,Feature  4
223,0.8529411764705882,0.7941176470588235,molWeight,molVolume,nof_HBD,nof_OH
224,0.8529411764705882,0.7941176470588235,molWeight,molVolume,nof_HBD,nof_acetyl
226,0.8235294117647058,0.7647058823529411,molWeight,molVolume,molCharge_total,Complexity
237,0.7647058823529411,0.7058823529411765,molWeight,molVolume,molCharge_total,nof_Fragments
245,0.7941176470588235,0.7941176470588235,molWeight,molVolume,nof_Rings,Complexity
246,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Rings,nof_posCharge
250,0.7941176470588235,0.7352941176470589,molWeight,molVolume,nof_Rings,C_R1
254,0.7941176470588235,0.7647058823529411,molWeight,molVolume,nof_Rings,negCharge/Volume
256,0.7941176470588235,0.7647058823529411,molWeight,molVolume,nof_Rings,nof_Fragments
257,0.7941176470588235,0.7058823529411765,molWeight,molVolume,nof_Rings,nof_PO4
264,0.7647058823529411,0.7941176470588235,molWeight,molVolume,Complexity,nof_posCharge
265,0.8235294117647058,0.7941176470588235,molWeight,molVolume,Complexity,nof_negCharge
266,0.7941176470588235,0.7647058823529411,molWeight,molVolume,Complexity,a_heavy
267,0.7941176470588235,0.7941176470588235,molWeight,molVolume,Complexity,C_R2
268,0.7941176470588235,0.7941176470588235,molWeight,molVolume,Complexity,C_R1
269,0.8235294117647058,0.7647058823529411,molWeight,molVolume,Complexity,C_R0
270,0.8235294117647058,0.7647058823529411,molWeight,molVolume,Complexity,C_sp3
271,0.7941176470588235,0.7647058823529411,molWeight,molVolume,Complexity,posCharge/Volume
272,0.7941176470588235,0.7941176470588235,molWeight,molVolume,Complexity,negCharge/Volume
273,0.7941176470588235,0.7941176470588235,molWeight,molVolume,Complexity,nof_RotB
274,0.7941176470588235,0.7647058823529411,molWeight,molVolume,Complexity,nof_Fragments
275,0.7647058823529411,0.7941176470588235,molWeight,molVolume,Complexity,nof_PO4
276,0.7647058823529411,0.7647058823529411,molWeight,molVolume,Complexity,nof_SO3H
277,0.8235294117647058,0.7647058823529411,molWeight,molVolume,Complexity,nof_SH
278,0.8235294117647058,0.7647058823529411,molWeight,molVolume,Complexity,nof_NH2
279,0.8235294117647058,0.7647058823529411,molWeight,molVolume,Complexity,nof_COOH
280,0.7647058823529411,0.7941176470588235,molWeight,molVolume,Complexity,nof_OH
