,Random Forest HOO Accuracy,Decision Tree HOO Accuracy,Feature  3,Feature  3,Feature  3
334,0.8235294117647058,0.6764705882352942,molWeight,nof_negCharge,posCharge/Volume
2482,0.8235294117647058,0.6764705882352942,PSA/Area,nof_Rings,nof_PO4
212,0.8235294117647058,0.7058823529411765,molWeight,nof_HBA,nof_HBD
137,0.8235294117647058,0.7058823529411765,molWeight,molArea,nof_COOH
2110,0.8235294117647058,0.8823529411764706,molArea,nof_HBA,Complexity
169,0.8235294117647058,0.7941176470588235,molWeight,nof_Atoms,nof_Rings
351,0.8235294117647058,0.7058823529411765,molWeight,a_heavy,nof_RotB
356,0.8235294117647058,0.6764705882352942,molWeight,a_heavy,nof_NH2
173,0.8235294117647058,0.7352941176470589,molWeight,nof_Atoms,a_heavy
215,0.8235294117647058,0.8823529411764706,molWeight,nof_HBA,Complexity
325,0.8235294117647058,0.7058823529411765,molWeight,nof_posCharge,nof_NH2
604,0.8235294117647058,0.6176470588235294,molVolume,nof_Atoms,nof_Rings
363,0.8235294117647058,0.7058823529411765,molWeight,C_R2,posCharge/Volume
3651,0.8235294117647058,0.7941176470588235,molCharge_total,Complexity,a_heavy
1689,0.8235294117647058,0.7058823529411765,molPSA,molArea,molCharge_total
1525,0.8235294117647058,0.7941176470588235,molLogS,Complexity,nof_SO3H
627,0.8235294117647058,0.6470588235294118,molVolume,nof_Chirals,nof_Rings
138,0.8235294117647058,0.7058823529411765,molWeight,molArea,nof_OH
2532,0.8235294117647058,0.6764705882352942,PSA/Area,nof_negCharge,nof_Fragments
730,0.8235294117647058,0.7941176470588235,molVolume,Complexity,nof_negCharge
849,0.8235294117647058,0.6764705882352942,molVolume,posCharge/Volume,nof_SO3H
371,0.8235294117647058,0.7058823529411765,molWeight,C_R2,nof_COOH
144,0.8235294117647058,0.6470588235294118,molWeight,PSA/Area,molCharge_total
848,0.8235294117647058,0.6764705882352942,molVolume,posCharge/Volume,nof_PO4
628,0.8235294117647058,0.7941176470588235,molVolume,nof_Chirals,Complexity
624,0.8235294117647058,0.7058823529411765,molVolume,nof_Chirals,nof_HBA
332,0.8235294117647058,0.6764705882352942,molWeight,nof_negCharge,C_R0
3306,0.8235294117647058,0.6176470588235294,nof_HBA,a_heavy,nof_RotB
499,0.8235294117647058,0.6470588235294118,molVolume,molLogS,nof_HBA
4692,0.8235294117647058,0.7058823529411765,C_R0,posCharge/Volume,nof_COOH
336,0.8235294117647058,0.7058823529411765,molWeight,nof_negCharge,nof_RotB
1362,0.8235294117647058,0.5882352941176471,molLogS,PSA/Area,nof_HBD
266,0.8235294117647058,0.7058823529411765,molWeight,molCharge_total,nof_RotB
2746,0.8235294117647058,0.6470588235294118,nof_Atoms,nof_Rings,Complexity
60,0.8235294117647058,0.6176470588235294,molWeight,molLogS,molArea
1198,0.8235294117647058,0.6176470588235294,molLogP,a_heavy,nof_COOH
2364,0.8235294117647058,0.7058823529411765,PSA/Area,nof_Atoms,nof_Rings
2191,0.8235294117647058,0.8529411764705882,molArea,Complexity,a_heavy
4346,0.8235294117647058,0.5294117647058824,nof_negCharge,posCharge/Volume,nof_RotB
691,0.8235294117647058,0.7941176470588235,molVolume,molCharge_total,Complexity
430,0.8235294117647058,0.7058823529411765,molWeight,nof_RotB,nof_PO4
431,0.8235294117647058,0.7058823529411765,molWeight,nof_RotB,nof_SO3H
42,0.8235294117647058,0.7352941176470589,molWeight,molLogP,nof_negCharge
434,0.8235294117647058,0.7058823529411765,molWeight,nof_RotB,nof_COOH
40,0.8235294117647058,0.7647058823529411,molWeight,molLogP,Complexity
2131,0.8235294117647058,0.8529411764705882,molArea,nof_HBD,Complexity
2170,0.8235294117647058,0.8529411764705882,molArea,nof_Rings,Complexity
3889,0.8235294117647058,0.6470588235294118,nof_Rings,C_R2,posCharge/Volume
415,0.8235294117647058,0.7058823529411765,molWeight,posCharge/Volume,nof_SH
4203,0.8235294117647058,0.7058823529411765,nof_posCharge,C_R0,posCharge/Volume
24,0.8235294117647058,0.6470588235294118,molWeight,molVolume,nof_SO3H
22,0.8235294117647058,0.7058823529411765,molWeight,molVolume,nof_Fragments
3878,0.8235294117647058,0.7647058823529411,nof_Rings,a_heavy,nof_Fragments
273,0.8235294117647058,0.7058823529411765,molWeight,molCharge_total,nof_OH
451,0.8235294117647058,0.7058823529411765,molWeight,nof_SO3H,nof_NH2
285,0.8235294117647058,0.7352941176470589,molWeight,nof_Rings,nof_RotB
